Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
45,10,4,137,3,Some Random Commen with Id 45
46,10,4,65,5,Some Random Commen with Id 46
47,11,7,13,7,Some Random Commen with Id 47
48,11,7,144,7,Some Random Commen with Id 48
49,11,7,117,6,Some Random Commen with Id 49
50,11,7,86,9,Some Random Commen with Id 50
51,11,7,158,9,Some Random Commen with Id 51
52,11,7,111,7,Some Random Commen with Id 52
53,12,4,164,0,Some Random Commen with Id 53
54,12,4,9,1,Some Random Commen with Id 54
55,12,4,35,7,Some Random Commen with Id 55
56,12,4,137,2,Some Random Commen with Id 56
57,12,4,4,7,Some Random Commen with Id 57
58,12,4,92,6,Some Random Commen with Id 58
59,12,4,80,6,Some Random Commen with Id 59
60,12,4,191,6,Some Random Commen with Id 60
61,13,3,25,6,Some Random Commen with Id 61
62,13,3,38,7,Some Random Commen with Id 62
63,13,3,170,2,Some Random Commen with Id 63
64,13,3,31,0,Some Random Commen with Id 64
65,13,3,2,0,Some Random Commen with Id 65
66,14,1,78,8,Some Random Commen with Id 66
67,14,1,22,0,Some Random Commen with Id 67
68,14,1,149,2,Some Random Commen with Id 68
69,14,1,22,5,Some Random Commen with Id 69
70,14,1,176,4,Some Random Commen with Id 70
71,14,1,142,5,Some Random Commen with Id 71
72,14,1,0,1,Some Random Commen with Id 72
73,14,1,80,8,Some Random Commen with Id 73
74,15,2,132,7,Some Random Commen with Id 74
75,15,2,109,3,Some Random Commen with Id 75
76,16,4,124,3,Some Random Commen with Id 76
77,16,4,155,3,Some Random Commen with Id 77
78,16,4,47,3,Some Random Commen with Id 78
79,16,4,89,7,Some Random Commen with Id 79
80,16,4,140,3,Some Random Commen with Id 80
81,16,4,132,5,Some Random Commen with Id 81
82,16,4,179,3,Some Random Commen with Id 82
83,18,5,164,9,Some Random Commen with Id 83
84,18,5,8,5,Some Random Commen with Id 84
85,19,2,141,2,Some Random Commen with Id 85
86,19,2,81,4,Some Random Commen with Id 86
87,19,2,70,8,Some Random Commen with Id 87
88,19,2,116,1,Some Random Commen with Id 88
89,20,8,53,0,Some Random Commen with Id 89
90,20,8,178,9,Some Random Commen with Id 90
91,20,8,178,3,Some Random Commen with Id 91
92,21,5,41,9,Some Random Commen with Id 92
93,21,5,104,6,Some Random Commen with Id 93
94,21,5,91,2,Some Random Commen with Id 94
95,21,5,145,4,Some Random Commen with Id 95
96,21,5,35,2,Some Random Commen with Id 96
97,21,5,143,7,Some Random Commen with Id 97
98,21,5,100,4,Some Random Commen with Id 98
99,21,5,28,7,Some Random Commen with Id 99
100,22,4,136,8,Some Random Commen with Id 100
101,22,4,101,1,Some Random Commen with Id 101
102,22,4,65,3,Some Random Commen with Id 102
103,22,4,97,1,Some Random Commen with Id 103
104,23,7,7,1,Some Random Commen with Id 104
105,23,7,19,2,Some Random Commen with Id 105
106,23,7,26,2,Some Random Commen with Id 106
107,23,7,80,4,Some Random Commen with Id 107
108,23,7,46,4,Some Random Commen with Id 108
109,23,7,66,3,Some Random Commen with Id 109
110,23,7,14,2,Some Random Commen with Id 110
111,23,7,130,3,Some Random Commen with Id 111
112,24,9,163,3,Some Random Commen with Id 112
113,24,9,124,1,Some Random Commen with Id 113
114,24,9,191,1,Some Random Commen with Id 114
115,25,9,107,8,Some Random Commen with Id 115
116,25,9,100,7,Some Random Commen with Id 116
117,25,9,122,8,Some Random Commen with Id 117
118,25,9,162,3,Some Random Commen with Id 118
119,27,2,175,3,Some Random Commen with Id 119
120,28,3,190,7,Some Random Commen with Id 120
121,28,3,90,8,Some Random Commen with Id 121
122,28,3,173,5,Some Random Commen with Id 122
123,29,0,151,5,Some Random Commen with Id 123
124,29,0,137,6,Some Random Commen with Id 124
125,30,1,99,6,Some Random Commen with Id 125
126,30,1,26,9,Some Random Commen with Id 126
127,30,1,98,4,Some Random Commen with Id 127
128,30,1,30,7,Some Random Commen with Id 128
129,31,7,92,9,Some Random Commen with Id 129
130,31,7,54,8,Some Random Commen with Id 130
131,32,8,79,4,Some Random Commen with Id 131
132,32,8,161,8,Some Random Commen with Id 132
133,32,8,98,4,Some Random Commen with Id 133
134,32,8,172,7,Some Random Commen with Id 134
135,32,8,77,2,Some Random Commen with Id 135
136,32,8,11,6,Some Random Commen with Id 136
137,32,8,93,1,Some Random Commen with Id 137
138,32,8,139,1,Some Random Commen with Id 138
139,33,0,155,4,Some Random Commen with Id 139
140,33,0,142,8,Some Random Commen with Id 140
141,34,2,118,4,Some Random Commen with Id 141
142,35,6,177,3,Some Random Commen with Id 142
143,36,0,158,6,Some Random Commen with Id 143
144,36,0,32,8,Some Random Commen with Id 144
145,36,0,27,4,Some Random Commen with Id 145
146,37,5,24,2,Some Random Commen with Id 146
147,37,5,27,9,Some Random Commen with Id 147
148,37,5,17,0,Some Random Commen with Id 148
149,37,5,56,8,Some Random Commen with Id 149
150,37,5,18,7,Some Random Commen with Id 150
151,37,5,81,6,Some Random Commen with Id 151
152,38,5,116,7,Some Random Commen with Id 152
153,38,5,79,1,Some Random Commen with Id 153
154,39,7,0,6,Some Random Commen with Id 154
155,39,7,155,2,Some Random Commen with Id 155
